Jahr;WP;Coder;V1a;V1b1;V1b2;V1b3;V1c;V1d;V1e;V1g;V1h;V2;V3;V4;V12;V12b;V12c;Notes;V13;V5;V5a;V6a;V6b;V7;V8a;V8b;V8c;V8d;V9a;V9b;V9c;V9z;V10a;V10b;V10b1;V10b2;V10c;V11a;V11b;V11c;V14;Note.V14;V15;V16;V16a;V17;V17a;Anm.;V19;V20;V21;Anmerkung
2003;15;4;Henke, Rudolf;NA;NA;NA;1;NA;NA;NA;NA;3;NA;4631;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Brauer, Dr. Klaus G.;NA;NA;NA;1;NA;NA;NA;NA;3;NA;4632;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Handelsverband Deutschland - Der Einzelhandel;Busacker, RA Armin;NA;NA;1;NA;HDE;www.einzelhandel.de;Seit Ende 2009: Handelsverband Deutschland - Der Einzelhandel;1;22;115;5;1;36;NA;1;20030708;Änderung zur Handwerksordnung;21;12;1;2;NA;4;3;6;NA;NA;"Stärkung der wirtschaftlichen Entwicklung des Handwerks durch Neuregelung der Berufszugangsvoraussetzungen, Reduzierung der Handwerke der Anlage A Handwerksordnung auf Berufe, bei deren Ausübung besondere Gefahren entstehen, zulassungsfreie Berufe (ohne Meisterprüfung) in Anlage B Handwerksordnung, Möglichkeit des fakultativen Meisters als Qualitätssiegel, Aufhebung des Inhaberprinzips, Anspruch von Gesellen mit bestimmter Berufserfahrung auf Eintragung in die Handwerksrolle, Zulassung von Ingenieuren und Technikern zur Handwerksausübung; Änderung und Ergänzung versch. §§ Handwerksordnung, Einzeländerungen in weiteren acht Gesetzen und Verordnungen, u.a. im Übergangsgesetz aus Anlass des 2. Gesetzes zur Änderung der Handwerksordnung und anderer handwerksrechtlicher Vorschriften; Neufassungsermächtigung";2;15/1206;15/2083;Entwurf eines Dritten Gesetzes zur Änderung der Handwerksordnung und anderer handwerksrechtlicher Vorschriften;2;NA;NA;NA;4;NA;15019186;11;6;31;5;NA;NA;NA;;NA
2003;15;4;Bundesverband Deutscher Heimwerker-, Bau und Gartenfachmärkte e. V.;NA;NA;NA;2;NA;BHB;http://www.bhb.org;NA;1;22;4587;5;1;36;NA;1;20030708;Änderung zur Handwerksordnung;21;12;1;2;NA;4;3;6;NA;NA;"Stärkung der wirtschaftlichen Entwicklung des Handwerks durch Neuregelung der Berufszugangsvoraussetzungen, Reduzierung der Handwerke der Anlage A Handwerksordnung auf Berufe, bei deren Ausübung besondere Gefahren entstehen, zulassungsfreie Berufe (ohne Meisterprüfung) in Anlage B Handwerksordnung, Möglichkeit des fakultativen Meisters als Qualitätssiegel, Aufhebung des Inhaberprinzips, Anspruch von Gesellen mit bestimmter Berufserfahrung auf Eintragung in die Handwerksrolle, Zulassung von Ingenieuren und Technikern zur Handwerksausübung; Änderung und Ergänzung versch. §§ Handwerksordnung, Einzeländerungen in weiteren acht Gesetzen und Verordnungen, u.a. im Übergangsgesetz aus Anlass des 2. Gesetzes zur Änderung der Handwerksordnung und anderer handwerksrechtlicher Vorschriften; Neufassungsermächtigung";2;15/1206;15/2083;Entwurf eines Dritten Gesetzes zur Änderung der Handwerksordnung und anderer handwerksrechtlicher Vorschriften;2;NA;NA;NA;4;NA;15019186;11;6;31;5;NA;NA;NA;;NA
2003;15;4;Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.;Buddemeier, Klaudia;NA;NA;1;NA;BDA;www.arbeitgeber.de;NA;1;21;23;5;1;41;NA;1;20030924;Sozialhilferecht;8;11;1;2;NA;4;1;13;NA;NA;"Umfassende Reform des Sozialhilferechts, neues System für die Bemessung der Regelsätze, u.a. weitgehende Einbeziehung einmaliger Leistungen, Orientierung der Regelsätze an der in Fünfjahresabstand erhobenen Einkommens- und Verbrauchsstichprobe und der zwischenzeitlichen Rentenanpassung, Unterstützung Leistungsberechtigter, insbesondere Behinderter und Pflegebedürftiger, bei der Führung eines selbstbestimmten Lebens, persönliches Budget, Beseitigung der Schlechterstellung ambulanter Leistungen, Verwaltungsvereinfachungen für eine zielgenaue Leistungsgewährung; 12. Buch Sozialgesetzbuch - Sozialhilfe - als Art. 1 der Vorlage, Änderung von 65 Gesetzen und Verordnungen, Aufhebung des Bundessozialhilfegesetzes und von drei Durchführungsverordnungen, Eingliederung weiterer Verordnungen zur Durchführung des BSHG in das 12. Buch Sozialgesetzbuch";2;15/1514;15/1734;Entwurf eines Gesetzes zur Einordnung des Sozialhilferechts in das Sozialgesetzbuch;2;NA;NA;NA;4;NA;15019245;69;11;88;6;NA;NA;NA;;NA
2003;15;4;Industriegewerkschaft Bergbau, Chemie, Energie;Hörnschemeyer, Franz-Gerd;NA;NA;1;NA;IG BCE;www.igbce.de;NA;1;11;66;99;NA;6;NA;1;20030519;Erneuerbare-Energien-Gesetz;17;2;1;2;NA;1;1;10;NA;NA;Einfügung § 11a Erneuerbare-Energien-Gesetz: Ermächtigung des Bundesamtes für Wirtschaft und Ausfuhrkontrolle zur teilweisen Befreiung stromintensiver Unternehmen des produzierenden Bereichs vom EEG-Kostenanteil bei Nachweis einer Beeinträchtigung der Wettbewerbsfähigkeit, Aufnahme der Neuregelung in den Erfahrungsbericht nach § 12 EEG;1;15/810;15/1121;Entwurf eines Ersten Gesetzes zur Änderung des Erneuerbare-Energien-Gesetzes;2;NA;NA;NA;2;NA;15019119;3;1;03. Mai;0.5;NA;NA;NA;;NA
2003;15;4;Rheinisch-Westfälisches Institut für Wirtschaftsforschung e. V.;Hillebrand, Bernhard;NA;NA;1;NA;RWI;NA;NA;6;NA;97;99;NA;6;NA;1;20030519;Erneuerbare-Energien-Gesetz;17;2;1;2;NA;1;1;10;NA;NA;Einfügung § 11a Erneuerbare-Energien-Gesetz: Ermächtigung des Bundesamtes für Wirtschaft und Ausfuhrkontrolle zur teilweisen Befreiung stromintensiver Unternehmen des produzierenden Bereichs vom EEG-Kostenanteil bei Nachweis einer Beeinträchtigung der Wettbewerbsfähigkeit, Aufnahme der Neuregelung in den Erfahrungsbericht nach § 12 EEG;1;15/810;15/1121;Entwurf eines Ersten Gesetzes zur Änderung des Erneuerbare-Energien-Gesetzes;2;NA;NA;NA;2;NA;15019119;3;1;03. Mai;0.5;NA;NA;NA;;NA
2003;15;4;Schomerus, Dr. Rudolf;NA;NA;NA;1;NA;NA;NA;NA;3;NA;4621;99;NA;7;NA;1;20030625;Heimkehrerentschädigungsgeset;10;1;1;2;NA;4;1;2;24;NA;Gewährung einer einmaligen Entschädigung an Heimkehrer und Geltungskriegsgefangene, die auf das Gebiet der ehemaligen DDR entlassen worden sind, Höhe der Entschädigung zwischen 500 und 1.500 Euro;2;15/407;1/1625;Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz);4;NA;NA;NA;5;NA;15019050;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Institut für Zeitgeschichte;Schwartz, Dr. Michael;NA;NA;1;NA;IFZ;http://www.ifz-muenchen.de;NA;6;NA;4622;99;NA;7;NA;1;20030625;Heimkehrerentschädigungsgeset;10;1;1;2;NA;4;1;2;24;NA;Gewährung einer einmaligen Entschädigung an Heimkehrer und Geltungskriegsgefangene, die auf das Gebiet der ehemaligen DDR entlassen worden sind, Höhe der Entschädigung zwischen 500 und 1.500 Euro;2;15/407;1/1625;Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz);4;NA;NA;NA;5;NA;15019050;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Koch, Dr. Gustav;NA;NA;NA;1;NA;NA;NA;NA;3;NA;4623;99;NA;7;NA;1;20030625;Heimkehrerentschädigungsgeset;10;1;1;2;NA;4;1;2;24;NA;Gewährung einer einmaligen Entschädigung an Heimkehrer und Geltungskriegsgefangene, die auf das Gebiet der ehemaligen DDR entlassen worden sind, Höhe der Entschädigung zwischen 500 und 1.500 Euro;2;15/407;1/1625;Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz);4;NA;NA;NA;5;NA;15019050;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Heimkehrerstiftung Bonn;Oppermann, Heinz;NA;NA;1;NA;NA;NA;2007 aufgelöst;6;NA;4624;99;NA;7;NA;1;20030625;Heimkehrerentschädigungsgeset;10;1;1;2;NA;4;1;2;24;NA;Gewährung einer einmaligen Entschädigung an Heimkehrer und Geltungskriegsgefangene, die auf das Gebiet der ehemaligen DDR entlassen worden sind, Höhe der Entschädigung zwischen 500 und 1.500 Euro;2;15/407;1/1625;Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz);4;NA;NA;NA;5;NA;15019050;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Verband der Heimkehrer, Kriegsgefangenen und Vermisstenangehörigen Deutschlands e.V.;Berndt, Günther;NA;NA;1;NA;VdH;NA;NA;1;56;4625;99;NA;7;NA;1;20030625;Heimkehrerentschädigungsgeset;10;1;1;2;NA;4;1;2;24;NA;Gewährung einer einmaligen Entschädigung an Heimkehrer und Geltungskriegsgefangene, die auf das Gebiet der ehemaligen DDR entlassen worden sind, Höhe der Entschädigung zwischen 500 und 1.500 Euro;2;15/407;1/1625;Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz);4;NA;NA;NA;5;NA;15019050;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Nowacki, Franziska;NA;NA;NA;1;NA;NA;NA;NA;3;NA;4626;99;NA;7;NA;1;20030625;Heimkehrerentschädigungsgeset;10;1;1;2;NA;4;1;2;24;NA;Gewährung einer einmaligen Entschädigung an Heimkehrer und Geltungskriegsgefangene, die auf das Gebiet der ehemaligen DDR entlassen worden sind, Höhe der Entschädigung zwischen 500 und 1.500 Euro;2;15/407;1/1625;Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz);4;NA;NA;NA;5;NA;15019050;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Heidenreich, Erich;NA;NA;NA;1;NA;NA;NA;NA;3;NA;4627;99;NA;7;NA;1;20030625;Heimkehrerentschädigungsgeset;10;1;1;2;NA;4;1;2;24;NA;Gewährung einer einmaligen Entschädigung an Heimkehrer und Geltungskriegsgefangene, die auf das Gebiet der ehemaligen DDR entlassen worden sind, Höhe der Entschädigung zwischen 500 und 1.500 Euro;2;15/407;1/1625;Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz);4;NA;NA;NA;5;NA;15019050;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Hailbronner, Prof. Dr. Kay;NA;NA;NA;1;NA;NA;NA;NA;3;NA;22;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;EU-Kommission;Faull, Jonathan;NA;NA;1;NA;NA;ec.europa.eu/index_de.htm;NA;15;NA;46;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Göbel-Zimmermann, Dr. Ralph;NA;NA;NA;1;NA;NA;www.vg-wiesbaden.justiz.hessen.de/irj/VG_Wiesbaden_Internet;NA;3;NA;277;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Marx, Dr. Reinhard;NA;NA;NA;1;NA;NA;www.ramarx.de/;NA;3;NA;279;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Amnesty International - Sektion der Bundesrepublik Deutschland e. V.;Grenz, Wolfgang;NA;NA;1;NA;NA;www.amnesty.de/;NA;1;82;377;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Huber, Prof. Dr. Peter M.;NA;NA;NA;1;NA;NA;NA;NA;3;NA;1582;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;United Nations High Commissioner for Refugees;Klug, Anja;NA;NA;1;NA;UNHCR;NA;NA;14;NA;1985;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Hund, Michael;NA;NA;NA;1;NA;NA;NA;NA;3;NA;4628;99;NA;8;NA;1;20030702;Asyl-, Flüchtlings- und Migrationspolitik;10;4;1;1;1;NA;3;19;3;NA;NA;NA;NA;NA;NA;NA;"KOM-Nr.(2002) 326 endg.; Ratsdok.-Nr: 10279/1/02 REV 1";Geänderter Vorschlag für eine Richtlinie des Rates über Mindestnormen für Verfahren in den Mitgliedstaaten zur Zuerkennung oder Aberkennung der Flüchtlingseigenschaft;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Sachverständigenrat für Umweltfragen;Reese, Dr. Fritz;NA;NA;1;NA;SRU;www.umweltrat.de/DE/DerSachverstaendigenratFuerUmweltfragen/dersachverstaendigenratfuerumweltfragen_node.html;NA;9;NA;1496;99;NA;12;NA;1;20030702;Dritte Verordnung zur Änderung der Verpackungsverordnung;17;3;1;1;6;NA;1;9;NA;NA;NA;NA;NA;NA;NA;NA;15/1179;Dritte Verordnung zur Änderung der Verpackungsverordnung;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Martens, Dr. Claus-Peter;NA;NA;NA;1;NA;NA;NA;NA;3;NA;1505;99;NA;12;NA;1;20030702;Dritte Verordnung zur Änderung der Verpackungsverordnung;17;3;1;1;6;NA;1;9;NA;NA;NA;NA;NA;NA;NA;NA;15/1179;Dritte Verordnung zur Änderung der Verpackungsverordnung;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Kloepfer, Prof. Dr. Thomas;NA;NA;NA;2;NA;NA;NA;NA;3;NA;4618;99;NA;12;NA;1;20030702;Dritte Verordnung zur Änderung der Verpackungsverordnung;17;3;1;1;6;NA;1;9;NA;NA;NA;NA;NA;NA;NA;NA;15/1179;Dritte Verordnung zur Änderung der Verpackungsverordnung;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Medizinischer Dienst des Spitzenverbandes Bund der Krankenkassen e.V.;Brucker, Uwe;NA;NA;1;NA;MDS;www.mds-ev.de;NA;1;22;585;99;NA;17;NA;1;20030507;Hilfsmittelsicherungsgesetz;8;2;1;2;NA;4;1;13;4;NA;"Dauerhafte Sicherung der Hilfsmittelversorgung von Pflegebedürftigen bei häuslicher und stationärer Pflege, Regelung der finanziellen Zuständigkeiten der Krankenkassen, der Pflegekassen und der Heimträger; Änderung der §§ 40, 75, 80a und 84 11. Buch Sozialgesetzbuch";2;15/308;15/1314;Entwurf eines Gesetzes zur Sicherung der Hilfsmittelversorgung von Pflegebedürftigen (Hilfsmittelsicherungsgesetz - HSG);4;NA;NA;NA;5;NA;15019036;NA;NA;NA;NA;NA;NA;NA;;NA
